REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,REP_CARD,RAMP_CURRENT,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,bA_BENTHIC_REP_CARD,bBENTHIC_SEC_CODE,bGEN_MHI_STRUCTURE,bPROTECTION_DS,NH,BENTHIC_BASIC,SAMOA_CLIMATE,BENTHIC_2018,NOTES
CT,Timor Leste,ATA,Forereef,Mid,1,NOT,ATA,ATA,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,ATA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,ATA,Forereef,Shallow,1,NOT,ATA,ATA,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,ATA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BAU,Forereef,Mid,1,NOT,BAU,BAU,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,BAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BAU,Forereef,Shallow,1,NOT,BAU,BAU,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,BAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BOB,Forereef,Mid,1,NOT,BOB,BOB,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,BOB,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BOB,Forereef,Shallow,1,NOT,BOB,BOB,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,BOB,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,DIL,Forereef,Mid,1,NOT,DIL,DIL,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,DIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,DIL,Forereef,Shallow,1,NOT,DIL,DIL,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,DIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LAU,Forereef,Mid,1,NOT,LAU,LAU,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,LAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LAU,Forereef,Shallow,1,NOT,LAU,LAU,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,LAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LIQ,Forereef,Mid,1,NOT,LIQ,LIQ,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,LIQ,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LIQ,Forereef,Shallow,1,NOT,LIQ,LIQ,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,LIQ,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,MAN,Forereef,Mid,1,NOT,MAN,MAN,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,MAN,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,MAN,Forereef,Shallow,1,NOT,MAN,MAN,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,MAN,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,OEC,Forereef,Mid,1,NOT,OEC,OEC,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,OEC,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,OEC,Forereef,Shallow,1,NOT,OEC,OEC,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,OEC,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,VIL,Forereef,Mid,1,NOT,VIL,VIL,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,VIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,VIL,Forereef,Shallow,1,NOT,VIL,VIL,NOT,NOT,NOT,NOT,Timor Leste,Timor Leste,NA,NA,NA,Timor Leste,NOT,VIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
MARIAN,11-mile bank,11-mile bank,Forereef,Deep,2.642415605,NOT,11-mile bank,11-mile bank,NOT,NOT,NOT,NOT,11-mile bank,11-mile bank,NA,NA,NA,11-mile bank,NOT,11-mile bank,
MARIAN,Agrihan,Agrihan,Forereef,Deep,455.6356862,CNMI_UNPOP,Agrihan,Agrihan,NOT,NOT,NOT,NOT,AGR,AGR,NOT,OPEN,1823,AGR_OPEN,NOT,Agrihan,
MARIAN,Agrihan,Agrihan,Forereef,Mid,51.8014133,CNMI_UNPOP,Agrihan,Agrihan,NOT,NOT,NOT,NOT,AGR,AGR,NOT,OPEN,207,AGR_OPEN,NOT,Agrihan,
MARIAN,Agrihan,Agrihan,Forereef,Shallow,343.1901754,CNMI_UNPOP,Agrihan,Agrihan,NOT,NOT,NOT,NOT,AGR,AGR,NOT,OPEN,1373,AGR_OPEN,NOT,Agrihan,
MARIAN,Aguijan,Aguijan,Forereef,Deep,119.2887963,SaTiAg,Aguijan,Aguijan,NOT,NOT,NOT,NOT,AGU,AGU,NOT,OPEN,477,AGU_OPEN,NOT,Aguijan,
MARIAN,Aguijan,Aguijan,Forereef,Mid,129.0007981,SaTiAg,Aguijan,Aguijan,NOT,NOT,NOT,NOT,AGU,AGU,NOT,OPEN,516,AGU_OPEN,NOT,Aguijan,
MARIAN,Aguijan,Aguijan,Forereef,Shallow,157.3007294,SaTiAg,Aguijan,Aguijan,NOT,NOT,NOT,NOT,AGU,AGU,NOT,OPEN,629,AGU_OPEN,NOT,Aguijan,
MARIAN,Alamagan,Alamagan,Forereef,Deep,112.8532954,CNMI_UNPOP,Alamagan,Alamagan,NOT,NOT,NOT,NOT,ALA,ALA,NOT,OPEN,451,ALA_OPEN,NOT,Alamagan,
MARIAN,Alamagan,Alamagan,Forereef,Mid,162.4144779,CNMI_UNPOP,Alamagan,Alamagan,NOT,NOT,NOT,NOT,ALA,ALA,NOT,OPEN,650,ALA_OPEN,NOT,Alamagan,
MARIAN,Alamagan,Alamagan,Forereef,Shallow,71.071876,CNMI_UNPOP,Alamagan,Alamagan,NOT,NOT,NOT,NOT,ALA,ALA,NOT,OPEN,284,ALA_OPEN,NOT,Alamagan,
MARIAN,Anatahan,Anatahan,Forereef,Deep,393.9252048,NOT,Anatahan,Anatahan,NOT,NOT,NOT,NOT,Ana,Ana,NA,NA,NA,Ana,NOT,Anatahan,"Assume average size island, assume dms each 1/3"
MARIAN,Anatahan,Anatahan,Forereef,Mid,393.9252048,NOT,Anatahan,Anatahan,NOT,NOT,NOT,NOT,Ana,Ana,NA,NA,NA,Ana,NOT,Anatahan,"Assume average size island, assume dms each 1/3"
